Ticker,yearly_return,volatility,avg_close,avg_volume,Symbol,COMPANY,sector
ADANIENT,-0.06670855586972457,0.4540192399269848,2953.0640845070425,2356295.1056338027,,,
ADANIPORTS,0.3672720712051961,0.41319190527005767,1260.5262323943662,4814566.802816901,ADANI PORTS & SEZ,ADANI PORTS & SEZ,MISCELLANEOUS
APOLLOHOSP,0.3547895564520069,0.2243794173436884,6191.419894366197,432472.9718309859,APOLLO HOSPITALS,APOLLO HOSPITALS,MISCELLANEOUS
ASIANPAINT,-0.2193504586576567,0.20104555706137536,3019.3827464788733,1214614.3450704226,ASIAN PAINTS,ASIAN PAINTS,PAINTS
AXISBANK,0.0973536333509439,0.24803862867995524,1126.4677816901408,9618029.686619718,AXIS BANK,AXIS BANK,BANKING
BAJAJ-AUTO,0.8901115330562449,0.27954008163182514,8586.158450704226,502406.588028169,BAJAJ AUTO,BAJAJ AUTO,AUTOMOBILES
BAJAJFINSV,0.02549565997245441,0.2241139136404337,1653.2320422535213,1569381.8943661973,BAJAJ FINSERV,BAJAJ FINSERV,FINANCE
BAJFINANCE,-0.16110874039861445,0.25269827247513577,7088.844894366198,1179193.1584507043,BAJAJ FINANCE,BAJAJ FINANCE,FINANCE
BEL,1.017600574712644,0.3696123904106732,233.57112676056337,28472446.580985915,BHARAT ELECTRONICS,BHARAT ELECTRONICS,DEFENCE
BHARTIARTL,0.69599048957095,0.21628235511695837,1293.2276408450705,6171184.151408451,,,
BPCL,0.6747715022263886,0.3503321504313908,285.4819718309859,16170556.644366197,BPCL,BPCL,ENERGY
BRITANNIA,0.07850159605823678,0.2069911745858587,5250.817077464788,345995.8591549296,,,
CIPLA,0.2567636117686845,0.2592690625506749,1430.2302816901408,1817625.088028169,CIPLA,CIPLA,PHARMACEUTICALS
COALINDIA,0.418465227817746,0.33989621792918345,435.5904929577465,11918318.838028168,COAL INDIA,COAL INDIA,MINING
DRREDDY,0.11178753867843358,0.19827419408142508,1232.324823943662,2062054.764084507,DR. REDDYS LAB,DR. REDDYS LAB,PHARMACEUTICALS
EICHERMOT,0.48779614489467077,0.25556208940904984,4321.183802816901,635657.5774647887,EICHER MOTORS,EICHER MOTORS,AUTOMOBILES
GRASIM,0.3578198804497765,0.22962656299649278,2354.8679577464786,800653.352112676,GRASIM,GRASIM,TEXTILES
HCLTECH,0.5325744732380722,0.22692054468488743,1541.2547535211268,2979915.7077464787,HCL TECHNOLOGIES,HCL TECHNOLOGIES,SOFTWARE
HDFCBANK,0.1575213023440867,0.2141439426512388,1578.0330985915493,20048880.492957745,HDFC BANK,HDFC BANK,BANKING
HDFCLIFE,0.08625996369663025,0.23224527652730087,642.3647887323943,4379828.309859155,HDFC LIFE INSURANCE,HDFC LIFE INSURANCE,INSURANCE
HEROMOTOCO,0.5897665472874388,0.2629332523509859,4686.789612676055,732722.8732394367,HERO MOTOCORP,HERO MOTOCORP,AUTOMOBILES
HINDALCO,0.3586831961662674,0.31093138869090636,608.9975352112677,6997897.316901408,HINDALCO,HINDALCO,ALUMINIUM
HINDUNILVR,-0.009579164810239415,0.191667153792557,2533.715845070423,1872679.852112676,HINDUSTAN UNILEVER,HINDUSTAN UNILEVER,FMCG
ICICIBANK,0.35919387429543764,0.20301745218989153,1110.0607394366198,14949379.665492957,ICICI BANK,ICICI BANK,BANKING
INDUSINDBK,-0.3045840880590776,0.30338078893650006,1442.3605633802813,3947158.9401408453,INDUSIND BANK,INDUSIND BANK,BANKING
INFY,0.326534170153417,0.2300519877726352,1629.8769366197184,6755539.116197183,INFOSYS,INFOSYS,SOFTWARE
ITC,0.07936327458783395,0.1896003986283869,454.5989436619719,14127310.507042253,ITC,ITC,FOOD & TOBACCO
JSWSTEEL,0.2688737422914638,0.26008686307914813,874.2934859154929,2225052.3274647887,JSW STEEL,JSW STEEL,STEEL
KOTAKBANK,0.019918357893517903,0.22566666812478842,1772.9563380281688,5336166.295774648,KOTAK MAHINDRA BANK,KOTAK MAHINDRA BANK,BANKING
LT,0.17253721630196048,0.2692936298745573,3483.0461267605638,2418356.5035211267,L&T,L&T,ENGINEERING
M&M,0.9597697411213735,0.3049933153106349,2251.2454225352117,3093708.2007042253,M&M,M&M,AUTOMOBILES
MARUTI,0.06926712348626166,0.21767909025851578,11631.642429577465,560861.3345070423,MARUTI SUZUKI,MARUTI SUZUKI,AUTOMOBILES
NESTLEIND,0.00707141320714141,0.1986985740524553,2490.1184859154932,932418.3204225352,NESTLE,NESTLE,FOOD & TOBACCO
NTPC,0.5151326699834162,0.3091562264502238,346.281338028169,16639937.82746479,NTPC,NTPC,POWER
ONGC,0.3304442036836403,0.35316513213886497,260.17605633802816,18690706.78169014,ONGC,ONGC,ENERGY
POWERGRID,0.688549235780506,0.296399957615199,287.10070422535216,17529094.10915493,POWER GRID,POWER GRID,POWER
RELIANCE,0.09172792214514974,0.21529114134082541,1388.0597535211266,12572108.193661971,RELIANCE IND.,RELIANCE IND.,ENERGY
SBILIFE,0.14909667685403694,0.2399182384397405,1528.8788732394366,1349238.2605633803,SBI LIFE INSURANCE,SBI LIFE INSURANCE,INSURANCE
SBIN,0.3534289742101333,0.2847782704905535,742.374471830986,17408250.024647888,SBI,SBI,BANKING
SHRIRAMFIN,0.4828949764562034,0.3442651279253106,2571.638204225352,1420213.38028169,SHRIRAM FINANCE,SHRIRAM FINANCE,FINANCE
SUNPHARMA,0.5728240395987558,0.18625279002021658,1527.812676056338,2198935.017605634,SUN PHARMA,SUN PHARMA,PHARMACEUTICALS
TATACONSUM,0.09753831862517418,0.23501849605490108,1078.0273943661973,1728552.852112676,,,
TATAMOTORS,0.2748811346603271,0.2837807217290617,896.3350352112676,12091710.926056338,TATA MOTORS,TATA MOTORS,AUTOMOBILES
TATASTEEL,0.11546875000000001,0.28941829914126044,149.46517605633804,43942286.72887324,TATA STEEL,TATA STEEL,STEEL
TCS,0.2079627758726185,0.2089366465951113,3952.0799295774655,2322424.4929577466,TCS,TCS,SOFTWARE
TECHM,0.43681137970728495,0.2543075344733979,1382.732218309859,2179248.7429577466,TECH MAHINDRA,TECH MAHINDRA,SOFTWARE
TITAN,0.03518185373484547,0.2244003452401477,3490.904401408451,1142673.940140845,TITAN,TITAN,RETAILING
TRENT,2.2309261327764562,0.36628520266383097,4670.86073943662,882024.559859155,TRENT,TRENT,RETAILING
ULTRACEMCO,0.36970944863875543,0.22723717802766225,10265.760915492958,352559.78169014084,ULTRATECH CEMENT,ULTRATECH CEMENT,CEMENT
WIPRO,0.4099149093599704,0.27729409819126843,484.5346830985915,7784437.665492957,WIPRO,WIPRO,SOFTWARE
